Number of charges,Relative permittivity,Oscillatory evidence,Exponential evidence,Bayes factor
105,1,-524.6496399257946,-6788.555209034309,12527.811138217028
105,2,-189.98889270170565,-3721.1428601760713,7062.307934948732
105,4,55.710341244437494,-1224.740145960113,2560.9009744091013
105,7,81.97031387184218,-570.5953460878319,1305.1313199193482
105,10,102.61479911162408,-411.4873583887525,1028.2043150007532
105,13,102.36915970757705,-383.7403191021059,972.2189576193659
105,16,106.47995574676962,-108.42628760530164,429.81248670414254
105,19,113.93216310657793,-115.68001180135609,459.22434981586804
105,22,102.29334699349602,7.823970845171027,188.93875229664997
105,25,113.8905997771336,84.18260180062474,59.41599595301773
105,28,109.60105382275619,37.75037915532011,143.70134933487213
105,50,111.89362964320401,96.68950152373328,30.408256238941448
105,65,114.85383430595869,104.48198101993951,20.74370657203835
105,75,116.41903142082245,107.29689082352577,18.244281194593356
105,85,115.11244884462234,119.03352620628351,-7.842154723322352
105,100,120.00207409274287,125.4181282442234,-10.832108302961046
210,1,-287.3947760645373,-6756.308543810704,12937.827535492333
210,2,-106.41573583877839,-4324.606328385465,8436.381185093373
210,4,17.725267425809708,-2231.1546576022533,4497.759850056126
210,7,72.64745116599727,-1067.8862469651972,2281.0673962623887
210,10,83.34109182311012,-1031.083134785047,2228.8484532163143
210,13,88.76782474457691,-380.83836899416536,939.2123874774845
210,16,91.43115195809665,-185.8919815335555,554.6462669833043
210,19,92.22849023777584,-209.6961330916886,603.8492466589289
210,22,96.64334661974017,-4.351854610665463,201.99040246081128
210,25,79.3429315620153,-43.609766624986406,245.9053963740034
210,28,100.12909917253222,53.40104555730087,93.4561072304627
210,50,83.02638688147661,78.66652449069537,8.71972478156249
210,75,91.90442432554445,78.84461329732733,26.119622056434252
210,100,91.07888764975975,89.83295098919957,2.4918733211203516
421,1,-521.8871258465172,-8246.936987700448,15450.099723707863
421,2,-342.4746744348208,-7826.093530230935,14967.237711592228
421,4,-67.03609692120541,-3251.8068818280985,6369.541569813786
421,7,15.98284151480221,-1551.147406889317,3134.2604968082383
421,10,23.775051117630383,-1830.5608254115464,3708.6717530583537
421,13,51.168791966709044,-1199.5606118142678,2501.4588075619536
421,16,60.64075002926846,-758.7557286830814,1638.7929574246998
421,19,63.29775531681654,-686.2927692795599,1499.1810491927529
421,22,57.977729625377506,-409.90606302547405,935.7675853017031
421,25,71.16455470514262,-273.55063263595,689.4303746821853
421,28,69.70397898049083,-225.24610193547008,589.9001618319219
421,50,80.1233779040119,-20.119345949829103,200.485447707682
421,75,82.35751081439241,54.61385752529141,55.48730657820201
421,100,79.26432307226621,71.92504872683521,14.678548690861987
2109,1,-1175.1204917606858,-17692.270818604145,33034.30065368692
2109,2,-705.6799662103623,-18829.25702351819,36247.15411461565
2109,4,-264.4008198373759,-14046.991948699264,27565.182257723776
2109,7,-19.28258589613368,-7405.44884524024,14772.332518688214
2109,10,6.47288945745693,-5241.43260485233,10495.810988619574
2109,13,13.08075639913527,-3718.323130466355,7462.80777373098
2109,16,20.354933308843123,-2439.176083383346,4919.062033384378
2109,19,16.45073668179884,-1693.869331221361,3420.64013580632
2109,22,20.772420648221537,-1065.9665167034227,2173.4778747032883
2109,25,26.3368684420132,-1001.0280034437988,2054.729743771624
2109,28,27.855726533636172,-636.1342872990193,1327.980027665311
2109,50,24.552996735138333,-49.80479959751621,148.7155926653091
2109,75,28.915506800724142,18.75397406714047,20.323065467167346
2109,100,51.8552374687632,-47.17681365511961,198.06410224776562
